myosd_id,label,place_name,start_lat,start_lon,River_basin_Sea
549,MYOSD549_2016-06_1,"Dellstedt,Rethbucht,Eider",54.23784,9.43307,Eider
550,MYOSD550_2016-06_1,Weser / Ecke Schleusenkanal Langwedel,52.99467239,9.08050493,Weser
551,MYOSD551_2016-06_1,Leinemasch Rethen,52.290763,9.805679,Weser
552,MYOSD552_2016-06_1,Hafen Tempelhof,52.44583358,13.36578406,Elbe
555,MYOSD555_2016-06_1,"Trave, MUK Br•À_cke, L•À_beck",53.86963,10.678833,Schlei/Trave
557,MYOSD557_2016-06_1,"Schwentine, Eutin",54.159444,10.612222,Schlei/Trave
558,MYOSD558_2016-06_1,Ponton op'n Bulln Blankenese,53.555998,9.80466,Elbe
559,MYOSD559_2016-06_1,"Funkstelle Schilksee, Ostsee",54.41495,10.184784,Baltic Sea
560,MYOSD560_2016-06_1,Hamme Worpswede,53.21541825,8.861054499,Weser
561,MYOSD561_2016-06_1,Juist S•À_d_stlich Flugplatz,53.679133,7.062191,North Sea
562,MYOSD562_2016-06_1,Leyh_rn Innen,53.53382,7.03897,Ems
563,MYOSD563_2016-06_1,"Hannover, Leine",52.368545,9.7330361,Weser
564,MYOSD564_2016-06_1,"Hannover, Leine",52.29957236,9.798264094,Weser
565,MYOSD565_2016-06_1,"Wiemen, Nordsee",53.686822,8.485101,North Sea
566,MYOSD566_2016-06_1,C_ciliengroden,53.487479,8.062252,North Sea
567,MYOSD567_2016-06_1,"Heiselhuser Str. 21, 26736 Krummh_rn",53.40567905,7.026294422,Ems
568,MYOSD568_2016-06_1,"Chemnitz, Sch_nherrfabrik",50.84865894,12.92346015,Elbe
570,MYOSD570_2016-06_1,Cuxhaven Nordsee,53.8652706,8.595561739,North Sea
571,MYOSD571_2016-06_1,Hafenausfahrt Norddeich,53.623667,7.153806,North Sea
573,MYOSD573_2016-06_1,"Neustein bei Laboe, M•À_ndung Hagener Au",54.416472,10.242221,Schlei/Trave
574,MYOSD574_2016-06_1,Spree,52.448359,13.570561,Elbe
576,MYOSD576_2016-06_1,"Postsee, Preetz",54.238763,10.267642,Schlei/Trave/Lake
577,MYOSD577_2016-06_1,Nord-Ostsee Kanal Kiel,54.360486,10.064552,Schlei/Trave
578,MYOSD578_2016-06_1,"Osnabr•À_ck, Hasebr•À_cke, Die Eversb•À_rg",52.308611,7.996667,Ems
579,MYOSD579_2016-06_1,"Schleusenkanal, Achim",52.99476396,9.08122322,Weser
580,MYOSD580_2016-06_1,"Tiefer See - Havel, Humboldtbr•À_cke, Babelsberg, Potsdam, Deutschland",52.400517,13.0775,Elbe
581,MYOSD581_2016-06_1,"Hunte, Anleger SV Tungeln, Kanuabteilung",53.095467,8.195183,Weser
582,MYOSD582_2016-06_1,Hafen Breege,54.611817,13.35525,Baltic Sea
586,MYOSD586_2016-06_1,"Schl•À_ttsiel, Hauke-Haien-Koog, N_he Anleger",54.680028,8.75575,North Sea
589,MYOSD589_2016-06_1,"Hannover, Ihme",52.376144,9.713922,Weser
592,MYOSD592_2016-06_1,"F_hr, Strandpromenade am Nordseekurpark",54.6799653,8.5479745,North Sea
