label	osd_id	local_date	water_depth	protocol	start_lat	start_lon	stop_lat	stop_lon
OSD100_2014-06-22_1m_NPL022	100	2014-06-22	1	NPL022	35.35	25.29	35.35	25.29
OSD101_2014-06-21_0m_NPL022	101	2014-06-21	0	NPL022	32.741808	-16.711281	32.741808	-16.711281
OSD102_2014-06-21_0m_NPL022	102	2014-06-21	0	NPL022	32.64605	-16.910158	32.64605	-16.910158
OSD103_2014-06-21_0m_NPL022	103	2014-06-21	0	NPL022	32.7747	-16.828664	32.7747	-16.828664
OSD105_2014-06-21_4.12m_NPL022	105	2014-06-21	4.12	NPL022	69.023323	-105.34339	69.023323	-105.34339
OSD106_2014-06-20_0m_NPL022	106	2014-06-20	0	NPL022	65.9449	-22.4192	65.9449	-22.4192
OSD106_2014-06-20_15m_NPL022	106	2014-06-20	15	NPL022	65.9449	-22.4192	65.9449	-22.4192
OSD107_2014-06-20_0m_NPL022	107	2014-06-20	0	NPL022	39.14039	-9.38011	39.14039	-9.38011
OSD108_2014-06-20_0m_NPL022	108	2014-06-20	0	NPL022	38.757283	-8.966333	38.757283	-8.966333
OSD109_2014-06-20_0m_NPL022	109	2014-06-20	0	NPL022	38.676942	-9.012392	38.676942	-9.012392
OSD110_2014-06-21_0m_NPL022	110	2014-06-21	0	NPL022	40.145122	-8.869328	40.145122	-8.869328
OSD111_2014-06-21_0m_NPL022	111	2014-06-21	0	NPL022	40.659875	-8.703761	-8.703761	40.659875
OSD113_2014-06-21_39m_NPL022	113	2014-06-21	39	NPL022	38.6667	-9.4367	38.6667	-9.4367
OSD114_2014-06-21_1m_NPL022	114	2014-06-21	1	NPL022	34.41	-9.51	34.41	-9.51
OSD115_2014-06-21_0m_NPL022	115	2014-06-21	0	NPL022	39.134347	-9.384778	39.134347	-9.384778
OSD116_2014-06-21_0m_NPL022	116	2014-06-21	0	NPL022	39.415067	-9.218828	39.415067	-9.218828
OSD117_2014-06-21_0m_NPL022	117	2014-06-21	0	NPL022	37.167	-7.504	37.167	-7.504
OSD118_2014-06-21_0.2m_NPL022	118	2014-06-21	0.2	NPL022	51.7423	-8.3112	51.7423	-8.3112
OSD119_2014-06-21_1m_NPL022	119	2014-06-21	1	NPL022	21.3142	-89.6712	21.3621	-89.6602
OSD120_2014-06-21_5m_NPL022	120	2014-06-21	5	NPL022	21.4934	-88.8468	21.4934	-88.8468
OSD121_2014-06-21_5m_NPL022	121	2014-06-21	5	NPL022	20.8841	-90.4967	20.8841	-90.4967
OSD122_2014-06-22_0m_NPL022	122	2014-06-22	0	NPL022	29.4667	34.9291	29.4667	34.9291
OSD123_2014-06-22_3.5m_NE08	123	2014-06-22	3.5	NE08	32.822	32.954	32.822	32.954
